id,name,lat,lng,streamUrl
NST04,ปากซอยอิศวร (ถนนศรีธรรมโศกราช) ตัวที่ 2,8.424449,99.961732,https://streaming.noc.nakhoncity.org/live/NST04.m3u8
NST05,สี่แยกหัวถนน ตัวที่ 1,8.381399,99.972463,https://streaming.noc.nakhoncity.org/live/NST05.m3u8
NST06,สี่แยกหัวถนน ตัวที่ 2,8.381699,99.972463,https://streaming.noc.nakhoncity.org/live/NST06.m3u8
NST07,หน้าโรงพยาบาลมหาราช ตัวที่ 1,8.389799,99.970907,https://streaming.noc.nakhoncity.org/live/NST07.m3u8
NST08,หน้าโรงพยาบาลมหาราช ตัวที่ 2,8.390099,99.970907,https://streaming.noc.nakhoncity.org/live/NST08.m3u8
NST09,ซอยสระเรียง ตัวที่ 1,8.413409,99.966597,https://streaming.noc.nakhoncity.org/live/NST09.m3u8
NST10,ซอยสระเรียง ตัวที่ 2,8.413409,99.966597,https://streaming.noc.nakhoncity.org/live/NST10.m3u8
NST11,ทางเข้า - ออก เซ็นทรัล ตัวที่ 1,8.380804,99.971079,https://streaming.noc.nakhoncity.org/live/NST11.m3u8
NST12,ทางเข้า - ออก เซ็นทรัล ตัวที่ 2,8.381104,99.971079,https://streaming.noc.nakhoncity.org/live/NST12.m3u8
NST13,แยกศาลากลาง ตัวที่ 1,8.420337,99.964752,https://streaming.noc.nakhoncity.org/live/NST13.m3u8
NST14,แยกศาลากลาง ตัวที่ 2,8.420637,99.964752,https://streaming.noc.nakhoncity.org/live/NST14.m3u8
NST15,วงเวียนน้ำพุ ตัวที่ 1,8.430539,99.962974,https://streaming.noc.nakhoncity.org/live/NST15.m3u8
NST16,วงเวียนน้ำพุ ตัวที่ 2,8.430839,99.96293,https://streaming.noc.nakhoncity.org/live/NST16.m3u8
NST17,วงเวียนน้ำพุ ตัวที่ 3,8.430839,99.96299,https://streaming.noc.nakhoncity.org/live/NST17.m3u8
NST18,หน้าเทศบาล ตัวที่ 1,8.436412,99.962505,https://streaming.noc.nakhoncity.org/live/NST18.m3u8
NST19,หน้าเทศบาล ตัวที่ 2,8.43633,99.96255,https://streaming.noc.nakhoncity.org/live/NST19.m3u8
NST20,สามแยกเทวราช ตัวที่ 1,8.44282,99.961613,https://streaming.noc.nakhoncity.org/live/NST20.m3u8
NST21,สามแยกเทวราช ตัวที่ 2,8.44312,99.961613,https://streaming.noc.nakhoncity.org/live/NST21.m3u8
NST22,สะพานราเมศวร์ ตัวที่ 1,8.444104,99.961113,https://streaming.noc.nakhoncity.org/live/NST22.m3u8
NST23,สะพานราเมศวร์ ตัวที่ 2,8.444104,99.961183,https://streaming.noc.nakhoncity.org/live/NST23.m3u8
NST24,ทางเข้าออกสมามกีฬา ตัวที่ 1,8.455034,99.959701,https://streaming.noc.nakhoncity.org/live/NST24.m3u8
NST25,ทางเข้าออกสมามกีฬา ตัวที่ 2,8.455334,99.959701,https://streaming.noc.nakhoncity.org/live/NST25.m3u8
NST26,หลังเทศบาล,8.436519,99.96352,https://streaming.noc.nakhoncity.org/live/NST26.m3u8
NST27,สี่แยกประตูขาว ตัวที่ 1,8.430696,99.964622,https://streaming.noc.nakhoncity.org/live/NST27.m3u8
NST28,สี่แยกประตูขาว ตัวที่ 2,8.430996,99.964622,https://streaming.noc.nakhoncity.org/live/NST28.m3u8
NST29,แยกมุมป้อม ตัวที่ 1,8.427623,99.96352,https://streaming.noc.nakhoncity.org/live/NST29.m3u8
NST30,แยกมุมป้อม ตัวที่ 2,8.427923,99.96352,https://streaming.noc.nakhoncity.org/live/NST30.m3u8
NST31,หน้าสำนักงานอัยการ ตัวที่ 1,8.424566,99.965422,https://streaming.noc.nakhoncity.org/live/NST31.m3u8
NST32,หน้าสำนักงานอัยการ ตัวที่ 2,8.424866,99.965422,https://streaming.noc.nakhoncity.org/live/NST32.m3u8
NST33,สี่แยกประตูลอด ตัวที่ 1,8.420745,99.966267,https://streaming.noc.nakhoncity.org/live/NST33.m3u8
NST34,สี่แยกประตูลอด ตัวที่ 2,8.421045,99.966267,https://streaming.noc.nakhoncity.org/live/NST34.m3u8
NST35,แยกนางงาม,8.420167,99.962419,https://streaming.noc.nakhoncity.org/live/NST35.m3u8
NST36,แยกนาหลวง,8.384404,99.979085,https://streaming.noc.nakhoncity.org/live/NST36.m3u8
NST37,ศิรินครอุทิศ ตัวที่ 1,8.406939,99.976791,https://streaming.noc.nakhoncity.org/live/NST37.m3u8
NST38,ศิรินครอุทิศ ตัวที่ 2,8.407139,99.976791,https://streaming.noc.nakhoncity.org/live/NST38.m3u8
NST39,สามแยกประตูลอด ตัวที่ 1,8.422231,99.973635,https://streaming.noc.nakhoncity.org/live/NST39.m3u8
NST40,สามแยกประตูลอด ตัวที่ 2,8.422531,99.973635,https://streaming.noc.nakhoncity.org/live/NST40.m3u8
NST41,หน้าธนาคารธนชาต ตัวที่ 1,8.432472,99.971431,https://streaming.noc.nakhoncity.org/live/NST41.m3u8
NST42,หน้าธนาคารธนชาต ตัวที่ 2,8.432672,99.971431,https://streaming.noc.nakhoncity.org/live/NST42.m3u8
NST43,หน้าตลาดนัดเสาร์-อาทิตย์ ตัวที่ 1,8.434174,99.971194,https://streaming.noc.nakhoncity.org/live/NST43.m3u8
NST44,หน้าตลาดนัดเสาร์-อาทิตย์ ตัวที่ 2,8.434374,99.971194,https://streaming.noc.nakhoncity.org/live/NST44.m3u8
NST45,ปากซอยท่าโพธิ์-คูขวาง ตัวที่ 1,8.446043,99.969185,https://streaming.noc.nakhoncity.org/live/NST45.m3u8
NST46,ปากซอยท่าโพธิ์-คูขวาง ตัวที่ 2,8.446243,99.969185,https://streaming.noc.nakhoncity.org/live/NST46.m3u8
NST48,หน้าหมู่บ้านเคหะสะพานยาว ตัวที่ 1,8.443224,99.953793,https://streaming.noc.nakhoncity.org/live/NST48.m3u8
NST49,หน้าหมู่บ้านเคหะสะพานยาว ตัวที่ 2,8.4432,99.953747,https://streaming.noc.nakhoncity.org/live/NST49.m3u8
NST52,สี่แยกศาลาหมอปาน ตัวที่ 1,8.41923,99.955278,https://streaming.noc.nakhoncity.org/live/NST52.m3u8
NST53,สี่แยกศาลาหมอปาน ตัวที่ 2,8.41943,99.955278,https://streaming.noc.nakhoncity.org/live/NST53.m3u8
NST55,สี่แยกเทวบุรี-ขนส่ง ตัวที่ 1,8.432945,99.950851,https://streaming.noc.nakhoncity.org/live/NST55.m3u8
NST56,สี่แยกเทวบุรี-ขนส่ง ตัวที่ 2,8.433145,99.950851,https://streaming.noc.nakhoncity.org/live/NST56.m3u8
NST57,สี่แยกเบญจมฯ ตัวที่ 1,8.434174,99.922537,https://streaming.noc.nakhoncity.org/live/NST57.m3u8
NST58,สี่แยกเบญจมฯ ตัวที่ 2,8.434704,99.921323,https://streaming.noc.nakhoncity.org/live/NST58.m3u8
NST59,ซอยรามราชท้ายน้ำ ตัวที่ 1,8.429524,99.971798,https://streaming.noc.nakhoncity.org/live/NST59.m3u8
NST60,ซอยรามราชท้ายน้ำ ตัวที่ 2,8.429724,99.971798,https://streaming.noc.nakhoncity.org/live/NST60.m3u8
NST61,แยกตลาดเย็น ตัวที่ 1,8.446344,99.960853,https://streaming.noc.nakhoncity.org/live/NST61.m3u8
NST62,แยกตลาดเย็น ตัวที่ 2,8.446544,99.960853,https://streaming.noc.nakhoncity.org/live/NST62.m3u8
NST63,ตลาดเปิดท้ายท่าเรียน,8.43281,99.957978,https://streaming.noc.nakhoncity.org/live/NST63.m3u8
NST64,ตลาดเปิดท้ายท่าเรียน,8.43291,99.95802,https://streaming.noc.nakhoncity.org/live/NST64.m3u8
NST65,มะขามชุม (ข้างอนุบาล) ตัวที่ 1,8.449163,99.959039,https://streaming.noc.nakhoncity.org/live/NST65.m3u8
NST66,มะขามชุม (ข้างอนุบาล) ตัวที่ 2,8.449363,99.959039,https://streaming.noc.nakhoncity.org/live/NST66.m3u8
NST67,หน้าสถานีตำรวจ ตัวที่ 1,8.431961,99.962897,https://streaming.noc.nakhoncity.org/live/NST67.m3u8
NST68,หน้าสถานีตำรวจ ตัวที่ 2,8.432161,99.962897,https://streaming.noc.nakhoncity.org/live/NST68.m3u8
NST69,ทางเข้าอู่รัชดาการาจ ตัวที่ 1,8.430396,99.971573,https://streaming.noc.nakhoncity.org/live/NST69.m3u8
NST70,ทางเข้าอู่รัชดาการาจ ตัวที่ 2,8.430596,99.971573,https://streaming.noc.nakhoncity.org/live/NST70.m3u8
NST71,ซอยตรอกฉาง ตัวที่ 1,8.44646,99.960758,https://streaming.noc.nakhoncity.org/live/NST71.m3u8
NST72,ซอยตรอกฉาง ตัวที่ 2,8.44666,99.960758,https://streaming.noc.nakhoncity.org/live/NST72.m3u8
NST73,สี่แยกประตูชัย,8.408195,99.967533,https://streaming.noc.nakhoncity.org/live/NST73.m3u8
NST74,แยกตลาดแขก,8.432864,99.962779,https://streaming.noc.nakhoncity.org/live/NST74.m3u8
NST75,ปากซอยสารีบุตร ตัวที่ 1,8.429508,99.964848,https://streaming.noc.nakhoncity.org/live/NST75.m3u8
NST76,ปากซอยสารีบุตร ตัวที่ 2,8.429508,99.964848,https://streaming.noc.nakhoncity.org/live/NST76.m3u8
NST80,สี่แยกสุเหร่า ตัวที่ 1,8.432761,99.961529,https://streaming.noc.nakhoncity.org/live/NST80.m3u8
NST81,สี่แยกสุเหร่า ตัวที่ 2,8.432761,99.961529,https://streaming.noc.nakhoncity.org/live/NST81.m3u8
NST82,หน้าตลาดหัวอิฐ,8.432849,99.953735,https://streaming.noc.nakhoncity.org/live/NST82.m3u8
NST83,สามแยกท่าช้าง ตัวที่ 1,8.432633,99.9605,https://streaming.noc.nakhoncity.org/live/NST83.m3u8
NST84,สามแยกท่าช้าง ตัวที่ 2,8.432833,99.9605,https://streaming.noc.nakhoncity.org/live/NST84.m3u8
NST85,หน้าสวนหลวง ร.9 ตัวที่ 1,8.419758,99.958964,https://streaming.noc.nakhoncity.org/live/NST85.m3u8
NST86,หน้าสวนหลวง ร.9 ตัวที่ 2,8.419758,99.958964,https://streaming.noc.nakhoncity.org/live/NST86.m3u8
NST87,ทางออกชลประทานสี่ขวา,8.441294,99.922346,https://streaming.noc.nakhoncity.org/live/NST87.m3u8
NST88,บ้านพักศาล (ศรีธรรมโศก 3) ตัวที่ 1,8.415247,99.969924,https://streaming.noc.nakhoncity.org/live/NST88.m3u8
NST89,บ้านพักศาล (ศรีธรรมโศก 3) ตัวที่ 2,8.415227,99.969861,https://streaming.noc.nakhoncity.org/live/NST89.m3u8
NST90,ตรงข้ามปั้ม ปตท.หัวอิฐตัวที่ 1,8.433363,99.948867,https://streaming.noc.nakhoncity.org/live/NST90.m3u8
NST91,ตรงข้ามปั้ม ปตท.หัวอิฐตัวที่ 2,8.433373,99.9489,https://streaming.noc.nakhoncity.org/live/NST91.m3u8
NST92,คลองห้วยตัวที่ 1,8.423447,99.94975,https://streaming.noc.nakhoncity.org/live/NST92.m3u8
NST93,คลองห้วยตัวที่ 2,8.423447,99.94981,https://streaming.noc.nakhoncity.org/live/NST93.m3u8
